epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,183.406,3.75497,3.97773,2.94336,0.00051,0.0003,0.00027,9e-05,3.84006,2.55445,2.69126,0.0801371,9.98134e-05,9.98134e-05
2,361.655,3.68873,3.40012,2.64084,0.00178,0.00011,0.00092,0.00013,3.7052,2.16762,2.44063,0.0602351,0.000197835,0.000197835
3,536.102,3.50776,2.97293,2.40171,0.00275,0.00159,0.00143,0.00024,3.48294,2.54243,2.28702,0.0403312,0.000293877,0.000293877
4,708.605,3.16252,2.56217,2.15118,0.00348,0.0032,0.0019,0.00033,2.95069,2.99104,1.95349,0.0204253,0.000387939,0.000387939
5,879.046,2.51298,1.99428,1.75638,0.01449,0.01017,0.00903,0.0013,2.2189,1.78909,1.52949,0.000517334,0.000480021,0.000480021
6,1049.43,1.89329,1.49049,1.40738,0.02913,0.02509,0.01783,0.00238,1.78547,1.20814,1.29841,0.00047525,0.00047525,0.00047525
7,1221.78,1.59473,1.26139,1.25893,0.05726,0.04713,0.03715,0.00493,1.56397,1.10532,1.20018,0.0004703,0.0004703,0.0004703
8,1396.36,1.43799,1.13953,1.18481,0.08827,0.0852,0.06949,0.00906,1.43068,0.97158,1.14486,0.00046535,0.00046535,0.00046535
9,1564.92,1.32799,1.05253,1.13502,0.12099,0.11171,0.09784,0.01227,1.34528,0.88416,1.10982,0.0004604,0.0004604,0.0004604
10,1739.49,1.24813,0.98774,1.10037,0.16749,0.12957,0.11433,0.01457,1.26963,0.87791,1.07532,0.00045545,0.00045545,0.00045545
11,1911.22,1.19123,0.93916,1.07584,0.16576,0.14971,0.1315,0.0165,1.21882,0.80882,1.05594,0.0004505,0.0004505,0.0004505
12,2086.55,1.13662,0.89331,1.05188,0.22843,0.16472,0.16327,0.02171,1.15361,0.75509,1.03386,0.00044555,0.00044555,0.00044555
13,2256.89,1.0949,0.85831,1.03352,0.24453,0.17786,0.1739,0.02266,1.11067,0.73936,1.01679,0.0004406,0.0004406,0.0004406
14,2430.36,1.06048,0.8262,1.02025,0.26703,0.19325,0.2038,0.02758,1.07984,0.70158,1.00413,0.00043565,0.00043565,0.00043565
15,2601.31,1.02755,0.80049,1.00701,0.27549,0.20096,0.20676,0.02725,1.05003,0.67115,0.99137,0.0004307,0.0004307,0.0004307
16,2771.81,1.00365,0.7786,0.99699,0.29312,0.21831,0.22582,0.02939,1.01868,0.65606,0.98229,0.00042575,0.00042575,0.00042575
17,2944.07,0.9801,0.7583,0.9878,0.30582,0.21836,0.23472,0.03125,1.0003,0.62949,0.97382,0.0004208,0.0004208,0.0004208
18,3119.65,0.95539,0.73992,0.97855,0.30882,0.23243,0.24396,0.03212,0.97165,0.62086,0.96334,0.00041585,0.00041585,0.00041585
19,3293.61,0.93966,0.73422,0.97166,0.32322,0.2289,0.24983,0.03213,0.95141,0.60638,0.95629,0.0004109,0.0004109,0.0004109
20,3466.17,0.91918,0.70959,0.96502,0.33152,0.24052,0.25973,0.03413,0.93039,0.60416,0.94982,0.00040595,0.00040595,0.00040595
21,3639.64,0.90116,0.69213,0.95885,0.3388,0.24301,0.26519,0.03397,0.91757,0.58307,0.94456,0.000401,0.000401,0.000401
22,3813.69,0.88683,0.67984,0.95245,0.34211,0.2514,0.27664,0.03628,0.89742,0.57323,0.93798,0.00039605,0.00039605,0.00039605
23,3990.27,0.8721,0.66858,0.94774,0.35441,0.26076,0.28657,0.03801,0.88359,0.56072,0.93381,0.0003911,0.0003911,0.0003911
24,4164.78,0.85852,0.65668,0.94223,0.3562,0.26016,0.28745,0.03759,0.86797,0.55681,0.92815,0.00038615,0.00038615,0.00038615
25,4340.35,0.84655,0.64628,0.93845,0.36296,0.26932,0.29457,0.03884,0.85443,0.54708,0.92352,0.0003812,0.0003812,0.0003812
26,4512.88,0.83512,0.63616,0.93397,0.37054,0.27539,0.30288,0.04062,0.84008,0.54063,0.91925,0.00037625,0.00037625,0.00037625
27,4683.26,0.82351,0.62754,0.92985,0.36934,0.27355,0.30094,0.03957,0.83035,0.53235,0.91553,0.0003713,0.0003713,0.0003713
28,4854.75,0.81262,0.61695,0.92629,0.38124,0.27353,0.30872,0.04081,0.81813,0.52417,0.91227,0.00036635,0.00036635,0.00036635
29,5032.11,0.8046,0.60993,0.92286,0.38106,0.28339,0.3146,0.04152,0.80678,0.52158,0.90832,0.0003614,0.0003614,0.0003614
30,5207.61,0.79396,0.60185,0.91965,0.38354,0.29103,0.3223,0.04387,0.79804,0.51348,0.90516,0.00035645,0.00035645,0.00035645
31,5380.15,0.78704,0.59589,0.91651,0.39048,0.29087,0.3249,0.04349,0.78796,0.50492,0.9024,0.0003515,0.0003515,0.0003515
32,5559.26,0.77792,0.58866,0.91438,0.39865,0.29164,0.3286,0.04368,0.77954,0.49767,0.89935,0.00034655,0.00034655,0.00034655
33,5736.91,0.76856,0.58073,0.91082,0.40176,0.29404,0.33306,0.04447,0.77197,0.49357,0.89736,0.0003416,0.0003416,0.0003416
34,5911.76,0.76485,0.57578,0.90953,0.4057,0.29593,0.33679,0.04526,0.76425,0.4907,0.89467,0.00033665,0.00033665,0.00033665
35,6086.65,0.75639,0.56868,0.90642,0.3989,0.3037,0.34139,0.04631,0.7571,0.48363,0.89252,0.0003317,0.0003317,0.0003317
36,6269.54,0.74724,0.5622,0.90308,0.40795,0.30309,0.34371,0.04648,0.74937,0.48058,0.89043,0.00032675,0.00032675,0.00032675
37,6452.91,0.74146,0.55795,0.90139,0.40952,0.30757,0.3471,0.04724,0.74189,0.47628,0.88838,0.0003218,0.0003218,0.0003218
38,6632.45,0.73415,0.55123,0.89919,0.405,0.31172,0.34978,0.04716,0.73587,0.47187,0.88629,0.00031685,0.00031685,0.00031685
39,6814.05,0.72906,0.5458,0.89757,0.40895,0.31403,0.35196,0.04774,0.72982,0.46895,0.88468,0.0003119,0.0003119,0.0003119
40,6993.7,0.72299,0.54244,0.8947,0.40633,0.31854,0.35358,0.04785,0.72358,0.46434,0.88299,0.00030695,0.00030695,0.00030695
41,7171.61,0.71725,0.53636,0.8934,0.41256,0.3196,0.35623,0.04813,0.71845,0.46042,0.88096,0.000302,0.000302,0.000302
42,7345.56,0.71227,0.53097,0.89137,0.41192,0.32292,0.35843,0.04879,0.71266,0.45666,0.87923,0.00029705,0.00029705,0.00029705
