epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,189.346,3.75517,3.9834,2.94135,0.00036,0.00023,0.00018,6e-05,3.88125,2.59543,2.75382,0.0801371,9.98134e-05,9.98134e-05
2,371.236,3.70925,3.4324,2.66694,0.00094,8e-05,0.00049,7e-05,3.7443,2.20305,2.4831,0.0602351,0.000197835,0.000197835
3,549.237,3.47894,2.94869,2.38868,0.00241,0.00106,0.00122,0.00022,3.36314,2.22456,2.19918,0.0403312,0.000293877,0.000293877
4,725.668,3.02676,2.44791,2.07772,0.0046,0.0022,0.00233,0.00038,2.8062,2.0371,1.83401,0.0204253,0.000387939,0.000387939
5,901.744,2.38798,1.87432,1.69497,0.01655,0.00854,0.00863,0.0011,2.20275,1.66224,1.53851,0.000517334,0.000480021,0.000480021
6,1072.62,1.84228,1.43937,1.39738,0.01981,0.02579,0.01213,0.00164,1.73333,1.49578,1.29052,0.00047525,0.00047525,0.00047525
7,1241.68,1.56756,1.24013,1.2571,0.07209,0.04466,0.04559,0.00612,1.53569,1.10575,1.20138,0.0004703,0.0004703,0.0004703
8,1412.7,1.41332,1.12061,1.18536,0.08901,0.08634,0.06561,0.00807,1.41601,1.00316,1.14712,0.00046535,0.00046535,0.00046535
9,1583.34,1.31526,1.03925,1.13918,0.11577,0.10713,0.09311,0.0121,1.3391,0.88966,1.11425,0.0004604,0.0004604,0.0004604
10,1751.1,1.23993,0.98029,1.10641,0.15722,0.12331,0.1098,0.01397,1.27033,0.89128,1.08426,0.00045545,0.00045545,0.00045545
11,1922.35,1.18831,0.93664,1.08235,0.1633,0.12834,0.12563,0.01555,1.22388,0.81318,1.06375,0.0004505,0.0004505,0.0004505
12,2096.4,1.13888,0.89312,1.0601,0.18454,0.1602,0.15083,0.01955,1.17235,0.77692,1.04346,0.00044555,0.00044555,0.00044555
13,2273.94,1.10188,0.86175,1.0436,0.21801,0.16377,0.16257,0.02067,1.12837,0.76371,1.02828,0.0004406,0.0004406,0.0004406
14,2452.51,1.06737,0.83171,1.02948,0.21124,0.17948,0.1714,0.02221,1.0931,0.73365,1.01191,0.00043565,0.00043565,0.00043565
15,2637.85,1.03888,0.80868,1.01736,0.23398,0.19188,0.18525,0.0239,1.06186,0.70655,1.00033,0.0004307,0.0004307,0.0004307
16,2822.47,1.01323,0.78715,1.00638,0.24856,0.20327,0.1979,0.02578,1.03899,0.68138,0.99207,0.00042575,0.00042575,0.00042575
17,3010.9,0.99243,0.76836,0.9975,0.26207,0.2117,0.20698,0.02737,1.00839,0.67077,0.98073,0.0004208,0.0004208,0.0004208
18,3203.45,0.96833,0.75027,0.988,0.27513,0.21453,0.21818,0.02874,0.9966,0.65443,0.97675,0.00041585,0.00041585,0.00041585
19,3391.1,0.95347,0.75021,0.98098,0.28832,0.22301,0.22866,0.02986,0.96994,0.63123,0.96734,0.0004109,0.0004109,0.0004109
20,3580.02,0.93061,0.71984,0.9739,0.2991,0.22719,0.2363,0.03176,0.94868,0.62217,0.95827,0.00040595,0.00040595,0.00040595
21,3764.61,0.91408,0.7037,0.96755,0.30836,0.23442,0.24461,0.03243,0.92924,0.61445,0.95361,0.000401,0.000401,0.000401
22,3953.12,0.89749,0.69154,0.96115,0.30914,0.24139,0.25333,0.03342,0.91193,0.60227,0.94831,0.00039605,0.00039605,0.00039605
23,4142.83,0.88376,0.68146,0.95656,0.31784,0.24513,0.25962,0.03476,0.90083,0.58734,0.94184,0.0003911,0.0003911,0.0003911
24,4327.21,0.87022,0.67066,0.95097,0.31746,0.2549,0.26409,0.03521,0.8826,0.5855,0.93727,0.00038615,0.00038615,0.00038615
25,4514.85,0.85796,0.65936,0.94631,0.32712,0.25418,0.27246,0.03604,0.87147,0.57421,0.93372,0.0003812,0.0003812,0.0003812
26,4707.12,0.8468,0.65098,0.9422,0.3246,0.26322,0.27552,0.03684,0.85789,0.56937,0.9288,0.00037625,0.00037625,0.00037625
27,4895.21,0.8346,0.64104,0.93802,0.33152,0.27215,0.28791,0.03833,0.84226,0.56099,0.92355,0.0003713,0.0003713,0.0003713
28,5088.03,0.82327,0.63143,0.93368,0.3426,0.2699,0.28812,0.03817,0.83381,0.5582,0.92067,0.00036635,0.00036635,0.00036635
29,5281.87,0.81561,0.62413,0.93112,0.34109,0.278,0.29423,0.03949,0.82306,0.54821,0.91804,0.0003614,0.0003614,0.0003614
30,5467.41,0.80468,0.6159,0.92717,0.35937,0.27392,0.29831,0.0395,0.81023,0.54365,0.91287,0.00035645,0.00035645,0.00035645
31,5639.25,0.79748,0.60992,0.92398,0.36497,0.28198,0.30649,0.04079,0.80143,0.54008,0.90994,0.0003515,0.0003515,0.0003515
32,5810.13,0.78853,0.60174,0.92155,0.37735,0.27662,0.30858,0.04119,0.79269,0.53122,0.90713,0.00034655,0.00034655,0.00034655
33,5981.17,0.77952,0.59362,0.91784,0.37287,0.28777,0.31497,0.04193,0.78485,0.52646,0.90426,0.0003416,0.0003416,0.0003416
34,6162.23,0.77504,0.58873,0.91657,0.3777,0.29048,0.31787,0.04239,0.77711,0.52224,0.90168,0.00033665,0.00033665,0.00033665
35,6342.34,0.76414,0.58194,0.91288,0.38154,0.29571,0.32194,0.04303,0.77011,0.5162,0.89934,0.0003317,0.0003317,0.0003317
36,6523.24,0.75774,0.57541,0.91033,0.38448,0.29528,0.3255,0.0436,0.76338,0.51018,0.89726,0.00032675,0.00032675,0.00032675
37,6700.44,0.75178,0.57234,0.90838,0.3877,0.2972,0.32691,0.04387,0.75441,0.50683,0.8943,0.0003218,0.0003218,0.0003218
38,6870.8,0.7439,0.56469,0.90586,0.38834,0.30157,0.33123,0.04462,0.74797,0.50368,0.89203,0.00031685,0.00031685,0.00031685
39,7044.44,0.73831,0.55917,0.90402,0.39238,0.30079,0.33308,0.04504,0.74225,0.49979,0.89046,0.0003119,0.0003119,0.0003119
40,7222.41,0.73345,0.55584,0.90167,0.40041,0.29896,0.33624,0.04541,0.73666,0.4976,0.88854,0.00030695,0.00030695,0.00030695
41,7397.52,0.72539,0.54959,0.89975,0.4033,0.30338,0.33961,0.04604,0.73088,0.49594,0.88659,0.000302,0.000302,0.000302
42,7580.28,0.72059,0.54465,0.89757,0.40319,0.30693,0.34276,0.04637,0.7264,0.49127,0.88515,0.00029705,0.00029705,0.00029705
43,7760.82,0.7152,0.54066,0.89637,0.40968,0.305,0.34376,0.04671,0.72103,0.48847,0.88342,0.0002921,0.0002921,0.0002921
44,7940.7,0.70923,0.53576,0.8938,0.41086,0.30696,0.34609,0.04709,0.71664,0.48543,0.88197,0.00028715,0.00028715,0.00028715
45,8114.9,0.70394,0.53184,0.89176,0.40733,0.31039,0.34816,0.04735,0.71234,0.48211,0.88049,0.0002822,0.0002822,0.0002822
46,8285.07,0.70134,0.5305,0.89119,0.4077,0.31504,0.35256,0.04808,0.70766,0.48027,0.87923,0.00027725,0.00027725,0.00027725
47,8454.41,0.69377,0.52492,0.88934,0.41049,0.31531,0.35309,0.04809,0.7036,0.4785,0.87786,0.0002723,0.0002723,0.0002723
48,8627.21,0.6904,0.5209,0.88749,0.40875,0.31926,0.35475,0.04853,0.69958,0.47675,0.87674,0.00026735,0.00026735,0.00026735
49,8809.27,0.68477,0.51597,0.88562,0.41362,0.31877,0.3569,0.04884,0.69589,0.4743,0.87558,0.0002624,0.0002624,0.0002624
50,8986.43,0.68206,0.51312,0.88507,0.41477,0.32116,0.35799,0.04907,0.69264,0.47269,0.87448,0.00025745,0.00025745,0.00025745
51,9163.6,0.67756,0.50959,0.88358,0.41864,0.32092,0.35889,0.04932,0.68949,0.47104,0.87346,0.0002525,0.0002525,0.0002525
52,9340.52,0.67218,0.50604,0.88191,0.42118,0.3222,0.36062,0.04963,0.687,0.46911,0.87257,0.00024755,0.00024755,0.00024755
53,9521.32,0.66855,0.50386,0.88094,0.41852,0.32521,0.36114,0.04984,0.68387,0.46688,0.87165,0.0002426,0.0002426,0.0002426
54,9702.39,0.66368,0.49945,0.87946,0.41972,0.32664,0.36222,0.04993,0.68106,0.46522,0.87073,0.00023765,0.00023765,0.00023765
55,9884.33,0.66016,0.49699,0.87811,0.42149,0.32765,0.36385,0.0503,0.67863,0.46392,0.86999,0.0002327,0.0002327,0.0002327
56,10069.7,0.6568,0.49331,0.87724,0.42252,0.32933,0.36539,0.05059,0.67588,0.46229,0.86922,0.00022775,0.00022775,0.00022775
57,10243.7,0.65347,0.49061,0.87567,0.42299,0.32939,0.3658,0.05068,0.67371,0.46112,0.86845,0.0002228,0.0002228,0.0002228
58,10419.1,0.65026,0.48886,0.87453,0.42252,0.33077,0.36629,0.05074,0.6711,0.4595,0.86767,0.00021785,0.00021785,0.00021785
59,10594.3,0.64644,0.48541,0.8735,0.42499,0.33116,0.36745,0.05091,0.66902,0.45805,0.86703,0.0002129,0.0002129,0.0002129
60,10767.9,0.64249,0.48269,0.87284,0.42767,0.33,0.36775,0.0509,0.66692,0.45655,0.86636,0.00020795,0.00020795,0.00020795
61,10944.6,0.64032,0.48115,0.87167,0.42575,0.33202,0.36862,0.05111,0.66514,0.45542,0.86577,0.000203,0.000203,0.000203
62,11117.2,0.63459,0.47783,0.87025,0.42274,0.33354,0.36872,0.05124,0.66345,0.45434,0.86523,0.00019805,0.00019805,0.00019805
63,11288.7,0.6318,0.47457,0.86941,0.42569,0.33412,0.37037,0.05144,0.66147,0.45295,0.86465,0.0001931,0.0001931,0.0001931
64,11461,0.63053,0.47329,0.8689,0.42641,0.33379,0.37081,0.05159,0.66004,0.45197,0.8641,0.00018815,0.00018815,0.00018815
65,11636.6,0.62591,0.47008,0.86755,0.42863,0.33399,0.37164,0.05168,0.6585,0.45115,0.86361,0.0001832,0.0001832,0.0001832
66,11811.6,0.62548,0.46962,0.86727,0.42894,0.33525,0.37277,0.05194,0.65689,0.45013,0.86313,0.00017825,0.00017825,0.00017825
67,11990.1,0.62139,0.46604,0.8664,0.42815,0.33577,0.37273,0.05197,0.65546,0.44905,0.86272,0.0001733,0.0001733,0.0001733
68,12169.6,0.61795,0.46389,0.8656,0.4272,0.33734,0.37319,0.05213,0.65402,0.44808,0.86227,0.00016835,0.00016835,0.00016835
69,12347.3,0.6146,0.46178,0.86414,0.42459,0.34042,0.37369,0.05224,0.65276,0.44732,0.86188,0.0001634,0.0001634,0.0001634
70,12515.9,0.61125,0.4593,0.86365,0.42596,0.34014,0.37415,0.0522,0.65162,0.44651,0.86145,0.00015845,0.00015845,0.00015845
71,12687.4,0.61052,0.45826,0.86311,0.42648,0.3409,0.37493,0.05245,0.65026,0.44541,0.86107,0.0001535,0.0001535,0.0001535
72,12859.4,0.60665,0.45728,0.86213,0.42584,0.34104,0.37501,0.05257,0.64926,0.44456,0.86075,0.00014855,0.00014855,0.00014855
73,13032.6,0.60441,0.4555,0.86113,0.42632,0.34176,0.37586,0.05264,0.64793,0.44361,0.86037,0.0001436,0.0001436,0.0001436
74,13201.2,0.60228,0.45264,0.86083,0.42838,0.34195,0.37669,0.05281,0.64685,0.44278,0.86004,0.00013865,0.00013865,0.00013865
75,13373.7,0.59764,0.45043,0.85957,0.4271,0.3436,0.37717,0.05297,0.64569,0.44207,0.8597,0.0001337,0.0001337,0.0001337
76,13543.9,0.59786,0.44921,0.85967,0.42653,0.34468,0.3776,0.05305,0.64462,0.44128,0.85933,0.00012875,0.00012875,0.00012875
77,13715.7,0.59512,0.44814,0.8589,0.42603,0.34502,0.37771,0.05313,0.64353,0.44074,0.85901,0.0001238,0.0001238,0.0001238
78,13886.9,0.59282,0.44631,0.85802,0.42768,0.3451,0.37862,0.05328,0.64237,0.43982,0.85869,0.00011885,0.00011885,0.00011885
79,14055.5,0.59031,0.44509,0.85743,0.42817,0.34561,0.37909,0.0534,0.64147,0.43935,0.8584,0.0001139,0.0001139,0.0001139
80,14225.8,0.58858,0.4435,0.85681,0.42916,0.34535,0.37933,0.05353,0.64061,0.43871,0.85807,0.00010895,0.00010895,0.00010895
81,14395,0.58539,0.44227,0.85631,0.42873,0.34535,0.37918,0.05354,0.63953,0.43781,0.85781,0.000104,0.000104,0.000104
82,14563.7,0.58401,0.44047,0.85597,0.42883,0.34632,0.37938,0.05361,0.63858,0.43727,0.85744,9.905e-05,9.905e-05,9.905e-05
83,14731.2,0.5841,0.44056,0.85555,0.42855,0.34779,0.3804,0.05372,0.63771,0.43662,0.85713,9.41e-05,9.41e-05,9.41e-05
84,14906.6,0.57978,0.43836,0.85491,0.42882,0.34817,0.38101,0.05386,0.63655,0.43601,0.85682,8.915e-05,8.915e-05,8.915e-05
85,15085.4,0.57943,0.43779,0.85484,0.42939,0.3483,0.38125,0.0539,0.63572,0.43557,0.85653,8.42e-05,8.42e-05,8.42e-05
86,15260,0.5758,0.43592,0.85363,0.43014,0.34868,0.38191,0.05394,0.63504,0.43492,0.85624,7.925e-05,7.925e-05,7.925e-05
87,15435.4,0.57633,0.43615,0.85389,0.43016,0.34923,0.38218,0.05401,0.63409,0.43458,0.85602,7.43e-05,7.43e-05,7.43e-05
88,15607.1,0.57259,0.43386,0.85272,0.43021,0.34918,0.38218,0.0539,0.63346,0.43402,0.85578,6.935e-05,6.935e-05,6.935e-05
89,15778.3,0.5711,0.43307,0.85253,0.42952,0.35029,0.38267,0.054,0.63198,0.43331,0.85541,6.44e-05,6.44e-05,6.44e-05
90,15950.2,0.56975,0.43265,0.85218,0.4303,0.35075,0.38333,0.05404,0.63152,0.4329,0.85519,5.945e-05,5.945e-05,5.945e-05
91,16126.7,0.56834,0.43233,0.85182,0.4303,0.35055,0.3835,0.0541,0.63063,0.43227,0.85494,5.45e-05,5.45e-05,5.45e-05
92,16300,0.56652,0.43077,0.85142,0.43141,0.35064,0.38336,0.05405,0.6298,0.43182,0.85465,4.955e-05,4.955e-05,4.955e-05
93,16473.5,0.56516,0.42976,0.8514,0.43337,0.35019,0.38405,0.05414,0.62897,0.43122,0.85438,4.46e-05,4.46e-05,4.46e-05
94,16653.1,0.56403,0.42948,0.85066,0.43135,0.35091,0.38423,0.0542,0.62811,0.43064,0.85408,3.965e-05,3.965e-05,3.965e-05
