epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.3891,4.04752,3.99191,3.0053,0,0,0,0,4.42456,2.55614,2.6949,0.0804373,9.83051e-05,9.83051e-05
2,26.4769,4.03268,3.92292,2.91104,0,0,0,0,4.47113,2.55445,2.75329,0.0605353,0.000196342,0.000196342
3,39.3585,3.9911,3.79184,2.77497,0,0,0,0,4.20494,2.53843,2.69837,0.0406314,0.000292399,0.000292399
4,52.1605,3.96857,3.7038,2.69721,0,0,0,0,4.03037,2.54452,2.60815,0.0207255,0.000386475,0.000386475
5,74.6507,3.98621,3.61419,2.5987,0,0,0,0,4.1268,8.65461,3.13187,0.000817555,0.000478572,0.000478572
6,92.7367,3.93045,3.56233,2.50475,0,0,0,0,4.11343,4.61939,2.88198,0.00047525,0.00047525,0.00047525
7,106.006,3.89031,3.55486,2.44436,0,0,0,0,4.0132,2.62465,2.49715,0.0004703,0.0004703,0.0004703
8,118.757,3.919,3.51686,2.41431,0,0,0,0,3.92606,2.50909,2.39815,0.00046535,0.00046535,0.00046535
9,132.07,3.89394,3.47129,2.37579,0,0,0,0,4.00599,2.60041,2.46198,0.0004604,0.0004604,0.0004604
10,144.883,3.87922,3.44474,2.32303,0,0,0,0,3.94733,2.49284,2.35152,0.00045545,0.00045545,0.00045545
11,156.161,3.82279,3.39131,2.28171,0,0,0,0,3.91177,2.50664,2.31471,0.0004505,0.0004505,0.0004505
12,169.26,3.80554,3.38049,2.24798,0,0,0,0,3.87012,2.48464,2.26328,0.00044555,0.00044555,0.00044555
13,181.615,3.80384,3.34557,2.21769,0,0,0,0,3.83296,2.44748,2.24386,0.0004406,0.0004406,0.0004406
14,194.301,3.76826,3.33141,2.20234,0,0,0,0,3.8217,2.45842,2.26769,0.00043565,0.00043565,0.00043565
15,207.008,3.72506,3.26794,2.17556,0,0,0,0,3.78301,2.411,2.20902,0.0004307,0.0004307,0.0004307
16,219.651,3.67301,3.21328,2.14069,0,0,0,0,3.71459,2.37423,2.18521,0.00042575,0.00042575,0.00042575
17,234.143,3.60793,3.14983,2.11213,0.45912,0.00017,4e-05,1e-05,3.72045,2.41771,2.24194,0.0004208,0.0004208,0.0004208
18,248.662,3.54901,3.11472,2.08268,0.00064,0.00013,0.00033,4e-05,3.6103,2.36064,2.16322,0.00041585,0.00041585,0.00041585
19,263.482,3.51489,3.0583,2.06169,0.00036,0.00013,0.00018,3e-05,3.57417,2.39033,2.16507,0.0004109,0.0004109,0.0004109
20,276.648,3.45839,3.01948,2.03188,0.00077,0.0006,0.00039,0.0001,3.48829,2.30262,2.08276,0.00040595,0.00040595,0.00040595
21,289.917,3.38861,2.95469,1.97699,0.00081,0.0003,0.00041,5e-05,3.43945,2.24627,2.03594,0.000401,0.000401,0.000401
22,303.194,3.3434,2.90889,1.96466,0.00044,7e-05,0.00022,4e-05,3.35721,2.20993,1.96569,0.00039605,0.00039605,0.00039605
23,317.238,3.28195,2.86307,1.90906,0.00058,0.00013,0.00029,5e-05,3.32415,2.18941,1.94341,0.0003911,0.0003911,0.0003911
24,331.671,3.24867,2.83083,1.89507,0.00065,0.00021,0.00033,6e-05,3.28504,2.15471,1.9124,0.00038615,0.00038615,0.00038615
25,345.438,3.21712,2.79229,1.86401,0.00019,6e-05,0.0001,2e-05,3.25933,2.11903,1.89018,0.0003812,0.0003812,0.0003812
26,360.001,3.16308,2.7522,1.82945,0.00051,0.00022,0.00026,4e-05,3.29091,2.17244,1.90611,0.00037625,0.00037625,0.00037625
27,374.42,3.1042,2.71553,1.80551,0.0002,8e-05,0.0001,1e-05,3.16123,2.10957,1.8375,0.0003713,0.0003713,0.0003713
28,388.595,3.06247,2.67721,1.77826,0.00047,0.00019,0.00023,4e-05,3.082,2.05634,1.7868,0.00036635,0.00036635,0.00036635
29,402.87,2.98256,2.63071,1.73735,0.00025,9e-05,0.00013,1e-05,3.06534,2.04064,1.77603,0.0003614,0.0003614,0.0003614
30,417.558,2.92432,2.59942,1.70827,0.0005,0.00021,0.00029,3e-05,3.00332,2.02774,1.73218,0.00035645,0.00035645,0.00035645
31,431.618,2.85999,2.55437,1.6805,0.0001,3e-05,5e-05,1e-05,2.91045,2.0035,1.70809,0.0003515,0.0003515,0.0003515
32,445.457,2.81799,2.52322,1.66502,0.00052,0.00019,0.00027,3e-05,2.88591,1.98587,1.68738,0.00034655,0.00034655,0.00034655
33,460.103,2.77028,2.48897,1.63735,0.00218,0.00054,0.0011,0.00012,2.86335,1.96291,1.66606,0.0003416,0.0003416,0.0003416
34,474.888,2.7103,2.4697,1.60961,0.0004,0.00019,0.0002,4e-05,2.78037,1.94075,1.62527,0.00033665,0.00033665,0.00033665
35,490,2.6748,2.44627,1.59002,0.00135,0.00047,0.00069,9e-05,2.71056,1.92215,1.59728,0.0003317,0.0003317,0.0003317
36,504.576,2.62507,2.41538,1.56863,0.00181,0.00052,0.00092,0.0001,2.6673,1.90366,1.58012,0.00032675,0.00032675,0.00032675
37,519.416,2.56641,2.39457,1.54187,0.00156,0.00044,0.00086,0.00011,2.64189,1.89235,1.55494,0.0003218,0.0003218,0.0003218
38,534.347,2.52451,2.37613,1.52246,0.00312,0.00112,0.0016,0.00019,2.56269,1.87681,1.5295,0.00031685,0.00031685,0.00031685
39,548.85,2.46994,2.3397,1.49482,0.00899,0.00145,0.00459,0.00102,2.50971,1.85907,1.51762,0.0003119,0.0003119,0.0003119
40,563.083,2.43664,2.33589,1.48164,0.00622,0.00124,0.00322,0.00037,2.49727,1.85549,1.50135,0.00030695,0.00030695,0.00030695
41,577.866,2.39898,2.31247,1.46132,0.00958,0.00166,0.00497,0.0008,2.45494,1.8402,1.4945,0.000302,0.000302,0.000302
42,592.948,2.38111,2.31422,1.45845,0.01236,0.00215,0.00645,0.00115,2.42818,1.83824,1.48151,0.00029705,0.00029705,0.00029705
43,608.648,2.34616,2.2904,1.4412,0.01289,0.00305,0.00696,0.00097,2.38877,1.81461,1.4567,0.0002921,0.0002921,0.0002921
44,623.43,2.31383,2.2853,1.42922,0.01156,0.00285,0.00634,0.00083,2.37436,1.80637,1.44353,0.00028715,0.00028715,0.00028715
45,638.59,2.27722,2.26454,1.41624,0.01281,0.00335,0.00689,0.00098,2.29797,1.79526,1.42703,0.0002822,0.0002822,0.0002822
46,653.453,2.23919,2.24841,1.39898,0.01541,0.00315,0.00843,0.00144,2.26662,1.78639,1.41567,0.00027725,0.00027725,0.00027725
47,668.969,2.22894,2.24838,1.39438,0.01557,0.00272,0.00824,0.00133,2.23419,1.7772,1.39997,0.0002723,0.0002723,0.0002723
48,683.502,2.1978,2.23218,1.38275,0.01638,0.00386,0.0091,0.00129,2.22314,1.77046,1.39628,0.00026735,0.00026735,0.00026735
49,699.591,2.16366,2.20862,1.36803,0.01828,0.00394,0.01006,0.00151,2.19209,1.75774,1.38182,0.0002624,0.0002624,0.0002624
50,715.108,2.14047,2.19815,1.35606,0.01512,0.00359,0.00817,0.0012,2.1587,1.75611,1.37333,0.00025745,0.00025745,0.00025745
51,730.431,2.13214,2.18398,1.35391,0.02209,0.00483,0.01212,0.00178,2.14991,1.74428,1.36509,0.0002525,0.0002525,0.0002525
52,745.706,2.09973,2.17856,1.3423,0.01905,0.00447,0.01051,0.00151,2.14153,1.73599,1.3609,0.00024755,0.00024755,0.00024755
53,761.031,2.09438,2.17167,1.33836,0.02215,0.00487,0.01239,0.0019,2.09393,1.73534,1.34387,0.0002426,0.0002426,0.0002426
54,776.341,2.05301,2.15823,1.3253,0.01884,0.00503,0.0107,0.00153,2.07569,1.72126,1.33873,0.00023765,0.00023765,0.00023765
55,791.799,2.05011,2.14808,1.32386,0.01879,0.00457,0.01061,0.00145,2.06816,1.71611,1.32912,0.0002327,0.0002327,0.0002327
56,806.941,2.03788,2.14889,1.31888,0.01978,0.00518,0.01112,0.00145,2.03493,1.71016,1.32797,0.00022775,0.00022775,0.00022775
57,822.414,2.01227,2.13971,1.30737,0.01758,0.00468,0.01003,0.00134,2.0127,1.70148,1.31774,0.0002228,0.0002228,0.0002228
58,837.574,1.98064,2.11041,1.29838,0.01959,0.00517,0.01149,0.00149,1.99295,1.69683,1.30814,0.00021785,0.00021785,0.00021785
59,853.142,1.99518,2.13604,1.30009,0.01908,0.00512,0.01042,0.00138,1.97947,1.691,1.30544,0.0002129,0.0002129,0.0002129
60,868.365,1.96229,2.1204,1.288,0.01914,0.00572,0.01139,0.00156,1.95666,1.68564,1.29827,0.00020795,0.00020795,0.00020795
61,883.955,1.94384,2.10172,1.28479,0.02029,0.00577,0.01207,0.00165,1.94997,1.67867,1.29264,0.000203,0.000203,0.000203
62,899.52,1.94269,2.097,1.28013,0.01929,0.00628,0.01189,0.00149,1.92774,1.67237,1.28883,0.00019805,0.00019805,0.00019805
