epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,16954.3,0.67429,0.3343,0.99596,0.50289,0.52274,0.51272,0.39215,0.59579,0.32551,0.99731,0.0025724,0.0025724,0.0025724
43,17246.1,0.66965,0.33069,0.99419,0.50282,0.51782,0.5154,0.39106,0.59608,0.32416,0.99771,0.00251241,0.00251241,0.00251241
44,17427.7,0.66463,0.32929,0.99326,0.49097,0.49795,0.52223,0.39959,0.59201,0.32046,0.99543,0.00245192,0.00245192,0.00245192
45,17743.5,0.66429,0.32698,0.99239,0.60207,0.44774,0.52384,0.40641,0.58864,0.32007,0.99462,0.00239102,0.00239102,0.00239102
46,18103.4,0.65162,0.32356,0.99104,0.54716,0.45788,0.52125,0.40434,0.58637,0.31759,0.99404,0.00232974,0.00232974,0.00232974
47,18485.9,0.65309,0.32189,0.99102,0.57086,0.46088,0.52558,0.40876,0.58259,0.31526,0.99315,0.00226816,0.00226816,0.00226816
48,18861.9,0.64625,0.31799,0.98877,0.61108,0.46881,0.52593,0.40829,0.58052,0.31456,0.99296,0.00220633,0.00220633,0.00220633
49,19248.2,0.64381,0.31842,0.98899,0.53465,0.49623,0.52772,0.40485,0.57889,0.31356,0.99241,0.00214433,0.00214433,0.00214433
50,19630.8,0.63394,0.31372,0.9867,0.53902,0.49886,0.52881,0.41117,0.57729,0.31279,0.99194,0.00208219,0.00208219,0.00208219
51,20045.2,0.63309,0.31191,0.98747,0.5546,0.48304,0.53121,0.41417,0.57603,0.31319,0.99213,0.00202,0.00202,0.00202
52,20423.9,0.62231,0.30718,0.98615,0.60838,0.47967,0.53545,0.41844,0.57266,0.31096,0.99136,0.00195781,0.00195781,0.00195781
53,20965.9,0.62219,0.30635,0.98397,0.64124,0.46299,0.53067,0.41235,0.57002,0.30939,0.99102,0.00189567,0.00189567,0.00189567
54,21316.6,0.62033,0.30519,0.98444,0.49518,0.52332,0.53629,0.41803,0.56912,0.3091,0.99089,0.00183367,0.00183367,0.00183367
55,21712.1,0.61328,0.30363,0.98353,0.56374,0.51153,0.53756,0.41747,0.56851,0.30796,0.99026,0.00177184,0.00177184,0.00177184
56,22128.7,0.61381,0.30165,0.98185,0.57026,0.49842,0.53878,0.42145,0.56821,0.30753,0.99029,0.00171026,0.00171026,0.00171026
57,22518.9,0.60924,0.30136,0.98226,0.57171,0.49437,0.54109,0.42181,0.56664,0.30576,0.98972,0.00164898,0.00164898,0.00164898
58,22855.8,0.60005,0.29765,0.98145,0.57245,0.50158,0.53746,0.41935,0.56612,0.30534,0.98957,0.00158808,0.00158808,0.00158808
59,23106.5,0.6094,0.29852,0.98228,0.57197,0.50249,0.53655,0.41942,0.56447,0.30482,0.98923,0.00152759,0.00152759,0.00152759
60,23287.9,0.59737,0.29582,0.98159,0.57567,0.50272,0.5409,0.42314,0.56414,0.30451,0.98883,0.0014676,0.0014676,0.0014676
61,23628.4,0.60267,0.29411,0.97847,0.59671,0.49924,0.54218,0.42763,0.56278,0.30411,0.98858,0.00140815,0.00140815,0.00140815
62,23999.7,0.5897,0.28956,0.97822,0.59941,0.49503,0.54376,0.42805,0.56157,0.3033,0.98844,0.0013493,0.0013493,0.0013493
63,24375,0.58969,0.28966,0.9786,0.60499,0.49343,0.54316,0.42745,0.56098,0.30279,0.98831,0.00129111,0.00129111,0.00129111
64,24786.3,0.5923,0.28919,0.97742,0.60656,0.49775,0.54318,0.42784,0.56027,0.3021,0.98823,0.00123365,0.00123365,0.00123365
65,25164.6,0.5859,0.28678,0.97766,0.67928,0.49243,0.54807,0.43215,0.55946,0.30183,0.9881,0.00117696,0.00117696,0.00117696
66,25554.9,0.58937,0.28633,0.9757,0.62408,0.50103,0.54868,0.43261,0.55901,0.30149,0.98814,0.0011211,0.0011211,0.0011211
67,25964.1,0.57914,0.28477,0.97548,0.59871,0.50222,0.54615,0.43211,0.55853,0.30111,0.9881,0.00106613,0.00106613,0.00106613
68,26387.4,0.57763,0.28391,0.97525,0.59402,0.50676,0.54728,0.43402,0.55812,0.30117,0.98804,0.0010121,0.0010121,0.0010121
69,26777.5,0.57811,0.28116,0.97358,0.59207,0.50592,0.54736,0.4343,0.55762,0.30067,0.98788,0.000959063,0.000959063,0.000959063
70,27178.8,0.56808,0.27719,0.97366,0.57644,0.51342,0.54602,0.434,0.55712,0.30034,0.98773,0.000907075,0.000907075,0.000907075
71,27598.9,0.57151,0.27798,0.97337,0.58489,0.5094,0.54732,0.43389,0.55651,0.30002,0.98745,0.000856185,0.000856185,0.000856185
72,27989,0.56407,0.27686,0.97405,0.59624,0.50701,0.54843,0.43458,0.55593,0.29968,0.98742,0.000806444,0.000806444,0.000806444
73,28388.6,0.56774,0.27619,0.97341,0.59463,0.50788,0.54891,0.43546,0.55534,0.29955,0.98727,0.000757901,0.000757901,0.000757901
74,28685.8,0.56506,0.27429,0.97184,0.54205,0.50807,0.54815,0.43496,0.55528,0.29943,0.98727,0.000710603,0.000710603,0.000710603
