epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,289.753,2.51428,1.71209,2.0299,0.00037,0.00066,0.00019,5e-05,2.59653,1.25133,1.95386,0.0933591,1.33085e-05,1.33085e-05
2,537.439,2.50751,1.61682,1.97777,0.00048,0.00073,0.00024,6e-05,2.57662,1.13501,1.90344,0.0867055,2.63754e-05,2.63754e-05
3,906.274,2.49538,1.54422,1.91537,0.00056,0.0004,0.00023,5e-05,2.56604,1.04506,1.84137,0.0800516,3.91757e-05,3.91757e-05
4,1261.98,2.4864,1.48409,1.85899,0.00055,0.00013,0.00014,4e-05,2.55479,1.00412,1.79217,0.0733975,5.17094e-05,5.17094e-05
5,1611.48,2.47773,1.43704,1.81512,0.00016,7e-05,8e-05,2e-05,2.53881,0.96442,1.7325,0.0667431,6.39764e-05,6.39764e-05
6,1952.44,2.46467,1.39584,1.77068,0.00056,0.0002,0.00029,8e-05,2.51744,0.93715,1.69691,0.0600884,7.59768e-05,7.59768e-05
7,2304.43,2.45107,1.35418,1.73409,0.00049,0.00023,0.00025,9e-05,2.51895,0.93695,1.68571,0.0534335,8.77105e-05,8.77105e-05
8,2655.58,2.4314,1.31523,1.69936,0.00139,0.00021,0.00072,0.00015,2.48657,0.89964,1.6411,0.0467783,9.91776e-05,9.91776e-05
9,2917.19,2.40961,1.28836,1.66511,0.00147,0.00037,0.00074,0.00013,2.47299,0.89945,1.62193,0.0401228,0.000110378,0.000110378
10,3149.1,2.38736,1.25772,1.63934,0.00219,0.00038,0.00112,0.00023,2.42907,0.87088,1.57836,0.0334671,0.000121312,0.000121312
11,3493.71,2.35013,1.22484,1.60079,0.00114,0.00012,0.00059,8e-05,2.38258,0.85939,1.53536,0.0268111,0.000131979,0.000131979
12,3839.36,2.30855,1.18927,1.55692,0.00295,0.00027,0.0016,0.00034,2.33526,0.83783,1.4911,0.0201548,0.00014238,0.00014238
13,4196.54,2.23836,1.14205,1.50634,0.00282,0.00032,0.00142,0.00025,2.24318,0.82936,1.43724,0.0134983,0.000152514,0.000152514
14,4580.75,2.15019,1.08091,1.45327,0.00258,0.00089,0.00131,0.00024,2.12856,0.82447,1.37884,0.00684149,0.000162381,0.000162381
15,4979.13,2.02617,1.01454,1.37622,0.00311,0.00193,0.00171,0.0003,1.99066,0.86667,1.30621,0.000184419,0.000171981,0.000171981
16,5352.84,1.85641,0.92985,1.27851,0.00486,0.00255,0.00256,0.00042,1.81734,0.80725,1.20245,0.000170003,0.000170003,0.000170003
17,5648.41,1.67713,0.84247,1.18288,0.00709,0.00446,0.00388,0.00056,1.6358,0.78711,1.11136,0.000168003,0.000168003,0.000168003
18,6071.34,1.52455,0.77525,1.098,0.00898,0.00619,0.00523,0.00077,1.50959,0.73775,1.04297,0.000166003,0.000166003,0.000166003
19,6482.31,1.40991,0.73319,1.03537,0.01226,0.00941,0.00742,0.00102,1.41051,0.68706,0.99781,0.000164004,0.000164004,0.000164004
20,6902.27,1.32962,0.68754,0.99078,0.01565,0.01167,0.00967,0.00128,1.33717,0.63549,0.95813,0.000162004,0.000162004,0.000162004
21,7329.11,1.26308,0.65493,0.95524,0.0159,0.01397,0.01033,0.0013,1.27991,0.62279,0.92702,0.000160004,0.000160004,0.000160004
22,7764.89,1.20999,0.62942,0.92814,0.01959,0.01636,0.01245,0.0017,1.23182,0.58314,0.90393,0.000158004,0.000158004,0.000158004
23,7988.25,1.16354,0.60849,0.90447,0.02182,0.01983,0.01403,0.00192,1.18945,0.56696,0.88234,0.000156004,0.000156004,0.000156004
24,8370.74,1.12496,0.58952,0.88439,0.02611,0.02297,0.01661,0.00226,1.15524,0.54743,0.8662,0.000154005,0.000154005,0.000154005
25,8821.46,1.09271,0.57295,0.86854,0.0276,0.02535,0.01762,0.00241,1.12514,0.53931,0.85104,0.000152005,0.000152005,0.000152005
26,9255.61,1.06299,0.56126,0.85335,0.02978,0.02825,0.0194,0.00263,1.09737,0.52858,0.83737,0.000150005,0.000150005,0.000150005
