epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,217.966,3.83544,4.03509,3.27451,0.00189,0.00028,0.00156,0.00022,3.9365,3.99711,3.24608,0.0801371,9.98134e-05,9.98134e-05
2,433.47,3.72351,3.45072,2.8076,0.00084,0.00049,0.00043,9e-05,3.83722,3.44612,2.64007,0.0602351,0.000197835,0.000197835
3,642.224,3.62818,3.11141,2.48927,0.00132,0.00014,0.00066,0.00011,3.69238,2.27558,2.37475,0.0403312,0.000293877,0.000293877
4,842.872,3.44047,2.87443,2.30395,0.00134,0.00059,0.00075,0.00012,3.37902,2.49625,2.12961,0.0204253,0.000387939,0.000387939
5,1049.35,2.88122,2.27007,2.0015,0.00425,0.00514,0.00223,0.00029,2.41893,2.06364,1.69905,0.000517334,0.000480021,0.000480021
6,1256.27,1.9651,1.51969,1.52335,0.04876,0.03022,0.02809,0.00398,1.84083,1.33516,1.37167,0.00047525,0.00047525,0.00047525
7,1466.68,1.64423,1.29662,1.33175,0.09837,0.06038,0.05988,0.008,1.62368,1.18369,1.25777,0.0004703,0.0004703,0.0004703
8,1673.89,1.48857,1.18236,1.24439,0.12052,0.08484,0.08288,0.01093,1.49093,1.02507,1.19699,0.00046535,0.00046535,0.00046535
9,1878.37,1.38275,1.1008,1.18756,0.15362,0.11331,0.10049,0.01329,1.41449,1.01898,1.15447,0.0004604,0.0004604,0.0004604
10,2077.98,1.30802,1.04133,1.15092,0.18132,0.1198,0.11196,0.01455,1.3413,0.91526,1.12531,0.00045545,0.00045545,0.00045545
11,2283.45,1.25333,0.99608,1.1248,0.17254,0.14134,0.13081,0.01656,1.28808,0.87686,1.09908,0.0004505,0.0004505,0.0004505
12,2479.34,1.20109,0.95417,1.09992,0.19362,0.13724,0.12649,0.01531,1.23992,0.82367,1.08312,0.00044555,0.00044555,0.00044555
13,2680.72,1.16587,0.91781,1.08266,0.21595,0.16304,0.14929,0.01865,1.19671,0.80415,1.06282,0.0004406,0.0004406,0.0004406
14,2886.07,1.12843,0.88105,1.06592,0.24164,0.17371,0.17109,0.02192,1.16137,0.77643,1.04852,0.00043565,0.00043565,0.00043565
15,3098.88,1.09811,0.85377,1.05152,0.25536,0.18412,0.18819,0.02446,1.13969,0.74354,1.03941,0.0004307,0.0004307,0.0004307
16,3312.82,1.07482,0.8305,1.04076,0.25455,0.18794,0.17802,0.02294,1.10382,0.71865,1.02599,0.00042575,0.00042575,0.00042575
17,3525.85,1.05207,0.808,1.0318,0.2762,0.20296,0.20386,0.02667,1.08005,0.71373,1.01331,0.0004208,0.0004208,0.0004208
18,3733.8,1.02943,0.78735,1.02182,0.28259,0.20676,0.21017,0.02741,1.05857,0.68507,1.00623,0.00041585,0.00041585,0.00041585
19,3942.59,1.01404,0.78682,1.01316,0.30425,0.2186,0.22349,0.02869,1.03741,0.66588,0.99634,0.0004109,0.0004109,0.0004109
20,4149.02,0.99092,0.75242,1.00543,0.32161,0.22465,0.24064,0.03126,1.01249,0.65303,0.98911,0.00040595,0.00040595,0.00040595
21,4354.18,0.97518,0.73543,0.99914,0.31454,0.22824,0.24637,0.03131,0.99851,0.64098,0.98228,0.000401,0.000401,0.000401
22,4557.97,0.95858,0.72048,0.99131,0.32139,0.24045,0.25549,0.03289,0.97646,0.62349,0.9749,0.00039605,0.00039605,0.00039605
23,4768.16,0.94714,0.70928,0.98725,0.33211,0.24341,0.26168,0.03409,0.96242,0.61694,0.96885,0.0003911,0.0003911,0.0003911
24,4977.8,0.93276,0.69607,0.98123,0.33733,0.24918,0.26825,0.03461,0.946,0.60543,0.96323,0.00038615,0.00038615,0.00038615
25,5184.01,0.91911,0.68266,0.97553,0.34529,0.2583,0.27557,0.03591,0.9307,0.59505,0.95812,0.0003812,0.0003812,0.0003812
26,5390.82,0.90711,0.67389,0.97117,0.34747,0.25644,0.28027,0.03611,0.91975,0.58299,0.95403,0.00037625,0.00037625,0.00037625
27,5598.84,0.89543,0.66279,0.96649,0.36481,0.2561,0.28497,0.03704,0.90553,0.5817,0.9492,0.0003713,0.0003713,0.0003713
28,5811,0.88337,0.65308,0.96179,0.36305,0.2643,0.29184,0.03797,0.89398,0.56857,0.94522,0.00036635,0.00036635,0.00036635
29,6019.21,0.87474,0.64465,0.95807,0.36256,0.27323,0.2982,0.03915,0.88188,0.55861,0.9407,0.0003614,0.0003614,0.0003614
30,6224.71,0.865,0.63603,0.95512,0.36759,0.27246,0.30013,0.03887,0.87073,0.5487,0.93735,0.00035645,0.00035645,0.00035645
31,6425.22,0.85797,0.63016,0.9516,0.37524,0.2787,0.30713,0.04065,0.86227,0.546,0.93379,0.0003515,0.0003515,0.0003515
32,6627.65,0.84775,0.62139,0.9483,0.38173,0.27739,0.30989,0.04114,0.85216,0.53433,0.93057,0.00034655,0.00034655,0.00034655
33,6833.38,0.83749,0.61276,0.94431,0.38326,0.28053,0.31326,0.04188,0.84366,0.52874,0.92724,0.0003416,0.0003416,0.0003416
34,7044.64,0.83216,0.60836,0.94272,0.38858,0.28123,0.31525,0.0421,0.83465,0.52736,0.92429,0.00033665,0.00033665,0.00033665
35,7251.22,0.82297,0.60003,0.93838,0.38621,0.28467,0.31859,0.04262,0.82717,0.52016,0.92201,0.0003317,0.0003317,0.0003317
36,7464.87,0.8128,0.59427,0.93503,0.39321,0.28821,0.32267,0.04321,0.81997,0.51291,0.9195,0.00032675,0.00032675,0.00032675
37,7672.9,0.80673,0.59037,0.93275,0.39643,0.29037,0.32606,0.04382,0.81313,0.50872,0.91699,0.0003218,0.0003218,0.0003218
38,7882.86,0.80129,0.58339,0.93063,0.3912,0.29512,0.32819,0.04403,0.8054,0.50696,0.91437,0.00031685,0.00031685,0.00031685
39,8096.79,0.79537,0.5777,0.92891,0.39394,0.29902,0.33185,0.04475,0.79911,0.50235,0.91247,0.0003119,0.0003119,0.0003119
40,8306.96,0.79013,0.57327,0.92614,0.40174,0.29671,0.3332,0.04513,0.7936,0.49731,0.91061,0.00030695,0.00030695,0.00030695
41,8514.47,0.78134,0.56729,0.92386,0.40249,0.3001,0.33665,0.0455,0.78692,0.49274,0.90845,0.000302,0.000302,0.000302
42,8722.88,0.7758,0.56152,0.92136,0.39948,0.30526,0.33798,0.0457,0.78087,0.48917,0.90676,0.00029705,0.00029705,0.00029705
43,8929.34,0.77064,0.55872,0.91988,0.40181,0.30791,0.34048,0.04638,0.7763,0.48661,0.90511,0.0002921,0.0002921,0.0002921
44,9142.94,0.76532,0.55247,0.91786,0.40526,0.30902,0.34307,0.04658,0.77165,0.48359,0.90346,0.00028715,0.00028715,0.00028715
45,9351.83,0.76023,0.55052,0.91553,0.40926,0.30709,0.34313,0.04678,0.76601,0.48004,0.90201,0.0002822,0.0002822,0.0002822
46,9557.74,0.75649,0.54841,0.91539,0.40818,0.31035,0.3453,0.04703,0.76166,0.4778,0.90042,0.00027725,0.00027725,0.00027725
47,9766.17,0.74928,0.542,0.91251,0.41246,0.31152,0.34764,0.04753,0.75704,0.47475,0.89894,0.0002723,0.0002723,0.0002723
48,9975.34,0.74515,0.53883,0.91031,0.413,0.31333,0.34915,0.04784,0.75276,0.47169,0.8976,0.00026735,0.00026735,0.00026735
49,10184.4,0.73983,0.53431,0.90921,0.41435,0.31526,0.35069,0.04804,0.74835,0.46903,0.89629,0.0002624,0.0002624,0.0002624
50,10391.8,0.73508,0.53069,0.9075,0.41591,0.31728,0.3525,0.04814,0.74463,0.46689,0.89533,0.00025745,0.00025745,0.00025745
51,10597.5,0.7297,0.52692,0.90572,0.41606,0.31857,0.35441,0.04828,0.74102,0.46506,0.89411,0.0002525,0.0002525,0.0002525
52,10787,0.72566,0.52297,0.90459,0.41828,0.31892,0.35486,0.04856,0.73738,0.46337,0.89299,0.00024755,0.00024755,0.00024755
53,10978.9,0.7227,0.52131,0.90364,0.41981,0.32005,0.35631,0.04882,0.73394,0.46145,0.89185,0.0002426,0.0002426,0.0002426
54,11169.5,0.71706,0.51767,0.90154,0.42122,0.32209,0.35757,0.04907,0.7306,0.45995,0.89088,0.00023765,0.00023765,0.00023765
55,11356.5,0.71348,0.5139,0.90077,0.42081,0.32218,0.35785,0.04925,0.72748,0.45793,0.88998,0.0002327,0.0002327,0.0002327
56,11551.2,0.70851,0.50993,0.89905,0.42054,0.32423,0.35842,0.04939,0.72489,0.45671,0.88913,0.00022775,0.00022775,0.00022775
57,11743.2,0.706,0.50913,0.89797,0.42,0.32571,0.35948,0.0495,0.7222,0.45495,0.88837,0.0002228,0.0002228,0.0002228
58,11935.5,0.70207,0.50592,0.8965,0.42194,0.32654,0.3607,0.0497,0.7196,0.45368,0.88759,0.00021785,0.00021785,0.00021785
59,12128.6,0.69629,0.50215,0.89501,0.4236,0.3276,0.36179,0.04986,0.71715,0.45246,0.88687,0.0002129,0.0002129,0.0002129
60,12316.7,0.69458,0.50049,0.89416,0.42604,0.32726,0.36253,0.04991,0.71498,0.45138,0.88621,0.00020795,0.00020795,0.00020795
61,12507,0.6894,0.49661,0.89284,0.42528,0.3283,0.36316,0.04989,0.71277,0.44995,0.88554,0.000203,0.000203,0.000203
62,12700.6,0.68594,0.49522,0.89172,0.42643,0.32952,0.36414,0.05015,0.71081,0.44885,0.8849,0.00019805,0.00019805,0.00019805
